10,0.013
9.5,0.114
9,0.208
8,0.375
7,0.518
6,0.636
5,0.724
4,0.78
3,0.788
2.5,0.767
2,0.726
1.5,0.661
1,0.563
0.75,0.496
0.5,0.413
0.25,0.299
0.125,0.215
0,0
0.125,-0.165
0.25,-0.227
0.5,-0.301
0.75,-0.346
1,-0.375
1.5,-0.41
2,-0.423
2.5,-0.422
3,-0.412
4,-0.38
5,-0.334
6,-0.276
7,-0.214
8,-0.15
9,-0.082
9.5,-0.048
10,-0.013
